湖 北（642座）


序号 宫观名称 地址 派别
275 朱河镇城隍庙 湖北省荆州市监利县朱河镇城建村 全真

276 何王庙 湖北省荆州市监利县朱河镇民主村 全真

277 曾子庙 湖北省荆州市监利县红城乡曾庙村三组 全真

278 宝庆庵 湖北省荆州市监利县汴河镇何庙村七组 全真

279 明善寺 湖北省荆州市监利县周老嘴镇爱华村 全真

280 云溪古庙 湖北省荆州市监利县白螺镇荆江村一组 全真

281 三官殿  湖北省荆州市监利县福田寺镇付家村二组 全真

282 上官庙 湖北省荆州市监利县毛市镇上观庙村 全真

283 九莲宫 湖北省荆州市监利县容城镇夏家台村二组 全真

284 十方宫 湖北省荆州市监利县朱河镇芦陵村五组 全真

285 李天庙 湖北省荆州市监利县汴河镇兴旺村七组 全真

286 古福田 湖北省荆州市监利县福田寺镇福田村九组 全真

287 元应山 湖北省荆州市监利县福田寺镇柳关街 全真

288 王公庙 湖北省荆州市监利县汪桥镇笔架村 全真

289 铁庙 湖北省荆州市监利县网市镇铁庙村 全真

290 九真古观 湖北省荆州市监利县汴河镇莫桥村三组 全真

291 祖师庙 湖北省荆州市监利县上车湾镇护国山路24号 全真

292 青羊宫 湖北省荆州市监利县黄歇口镇青阳村 全真

293 道兴观 湖北省荆州市监利县汴河镇项何村 全真

294 汴河城隍庙 湖北省荆州市监利县汴河镇朱湾村一组 全真

295 分盐文昌宫 湖北省荆州市监利县分盐镇分盐街 全真

296 宗公庙 湖北省荆州市监利县白螺镇狮子山 全真

297 新金顶 湖北省荆州市监利县新沟镇全心村 全真

298 玄妙宫 湖北省荆州市监利县黄歇口镇东港村 全真

299 潘山宫 湖北省荆州市监利县汴河镇新旺村三组  全真

300 万庵古庙 湖北省荆州市监利县福田寺镇民主村 全真

301 隆兴宫 湖北省荆州市监利县尺八镇冯王村 全真

302 三清宫 湖北省荆州市监利县汴河镇陈桥村 全真

303 五显庙 湖北省荆州市监利县汴河镇  全真

304 泰山庙 湖北省荆州市监利县棋盘乡月池村三组 全真

305 李天庙 湖北省荆州市监利县汴河镇兴旺村七组 全真

306 汪桥镇玄天观 湖北省荆州市监利县汪桥镇南剅村 全真

307 福田寺镇文昌宫 湖北省荆州市监利县福田寺镇文昌宫 全真

308 镇龙山祖师殿 湖北省荆州市监利县红城乡裴铺村 全真

309 大士古观  湖北省荆州市监利县毛市镇陈赵村 全真

310 三台庙 湖北省荆州市监利县白螺镇瞿李村 全真

311 三仙宫 湖北省荆州市监利县朱河镇三居委会 全真

312 无相观 湖北省荆州市监利县汪桥镇莲台村 全真

313 三圣观 湖北省荆州市监利县黄歇口镇 全真

314 静乐宫 湖北省荆州市监利县朱河镇建设村 全真

315 许仙观 湖北省荆州市江陵县郝穴镇铁牛矶堤内  全真

316 王灵观 湖北省荆州市江陵县沙岗镇潘垸村  全真

317 关帝观 湖北省荆州市江陵县马家寨乡金场村四组 全真

318 太晖观 湖北省荆州市荆州区西环路  全真

319 青龙观 湖北省荆州市沙市区胜利街青龙台26号 全真

320 天星观 湖北省荆州市沙市区观音垱村2组 全真

321 紫阳观 湖北省荆州市沙市区观音垱村1组 全真

322 紫云观 湖北省荆州市沙市区观音垱镇丫角鼓湖村3组  全真

323 南岳山道观 湖北省荆州市石首市城区南岳山 全真

324 柘林庙 湖北省荆州市石首市笔架山办事处断岗口村 全真

325 鸡头脑庙  湖北省荆州市石首市桃花山镇梓童阁村 全真

326 高基庙 湖北省荆州市石首市高基庙镇打鼓台村  全真

327 松滋市新江口镇上清观 湖北省荆州市松滋市新江口镇二环路  全真

328 松滋市街河市镇仁威观 湖北省荆州市松滋市街河市镇 全真

329 神农架林区五峰山祖师庙 湖北省神农架林区松柏镇堂房村  全真

330 潜江市妙庭观 湖北省潜江市园林办事处深河村 全真

331 潜江市浩口东岳观 湖北省潜江市浩口镇文岭村  全真

332 潜江市积玉口古城仙山 湖北省潜江市积玉口镇古城村 全真

333 潜江市杨市清阳宫 湖北省潜江市杨市办事处刁庙村 全真

334 潜江市运粮湖东岳观 湖北省潜江市运粮湖管理区 全真

335 青山观 湖北省天门市渔薪镇 正一

336 真人观 湖北省天门市卢市镇 正一

337 南光庙 湖北省天门市竟陵办事处  正一

338 陆羽泉 湖北省天门市佛子山镇 正一

339 圣水观 湖北省天门市九真  正一

340 迎水观 湖北省天门市杨林办事处 正一

341 隆镇观 湖北省天门市干驿镇 正一

342 复善堂 湖北省天门市横林镇 正一

343 东岳善堂 湖北省天门市麻洋镇 正一

344 圣台寺 湖北省天门市岳口镇 正一

345 玉泉寺 湖北省天门市皂市镇 正一

346 石丰观 湖北省天门市岳口镇 正一

347 皇坛庙 湖北省天门市小板镇 正一

348 六角亭 湖北省天门市岳口镇 正一

349 九真古庙 湖北省天门市九真镇 正一

350 南善庙 天门市区友谊村 全真

351 紫云山观 湖北省仙桃市剅河镇谢湾村四组 全真

352 明德观 湖北省仙桃市毛咀镇紫荆村一组 全真

353 沧浪观 湖北省仙桃市张沟镇镇北村一组 全真

354 陈场回龙观 湖北省仙桃市陈场镇王岭村 全真

355 剅河嶓塜观 湖北省仙桃市剅河镇邓岭村 全真

356 剅河铁牯观 湖北省仙桃市剅河镇许脑村 全真

357 剅河中州观 湖北省仙桃市剅河镇万湾新洲村 全真

358 干河蓬莱宫 干河蓬莱宫 全真

359 郭河圆阳观 湖北省仙桃市郭河镇光辉村 全真

360 青莲观 湖北省仙桃市郭河镇泗河口村一组 全真

361 石雄观 湖北省仙桃市干河办事处水运新村 全真

362 天佑观 湖北省仙桃市毛咀镇向阳居委会五组 全真

363 玄妙观 湖北省仙桃市沔城回族镇古柏门村 全真

364 迎龙观 湖北省仙桃市陈场镇姚咀街 全真

365 丹江口市静乐宫 湖北省十堰市丹江口市丹赵路办事处 全真

366 房县观音洞 湖北省十堰市房县城关镇炳公村11组 全真

367 茅箭区赛武当天元观 湖北省十堰市茅箭区赛武当管理局营子村 正一

368 琼台中观 湖北省十堰市武当山大湾村 全真

369 清微宫 湖北省十堰市武当山 全真

370 五龙宫 湖北省十堰市武当山五龙宫村 全真

371 紫霄宫 湖北省十堰市武当山紫霄宫村 全真

372 五龙宫 湖北省十堰市武当山五龙宫村 全真

373 太和宫（金顶） 湖北省十堰市市武当山 全真

374 郧西县悬鼓观 湖北省十堰市郧西县城关镇天河坪村四组 正一

375 郧西县李师关泰山庙 湖北省十堰市郧西县香口乡李师关村二组 正一

376 郧县白桑关玉皇观 湖北省十堰市郧县白桑关镇白桑关村 全真

377 张湾区纯阳观 湖北省十堰市张湾区红卫街办石桥村7组 全真

378 张湾区白马山五仙庙 湖北省十堰市张湾区柏林镇白马山村2组 全真

379 朝盐观 湖北省随州市广水市陈巷镇刘店村 全真

380 洛阳太乙古观 湖北省随州市曾都区洛阳镇龚店村 正一

381 武汉大道观 湖北省武汉市东湖生态旅游风景区磨山景区郊 全真

382 朝天宫 湖北省武汉市黄陂区木兰山 全真

383 三清观 湖北省武汉市黄陂区蔡榨街 全真

384 古娘娘殿 湖北省武汉市黄陂区木兰山风景管理处 全真

385 迎恩宫 湖北省武汉市黄陂区木兰山风景管理处 全真

386 木兰殿 湖北省武汉市黄陂区木兰山 全真

