福 建（918座）



序号    宫观名称                                地址                              派别
242 邵武晒口云屏山空中道观 福建省南平市邵武市晒口街道 正一

243 邵武通泰九峰观 福建省南平市邵武市通泰街道旗山 正一

244 邵武大埠岗道峰山观 福建省南平市邵武市大埠岗镇道峰山 正一

245 邵武和平天符山道观 福建省南平市邵武市和平镇天符山 全真

246 邵武和平黎舍望仙峰道观 福建省南平市邵武市和平镇黎舍村 正一

247 邵武和平黎舍行石岭道观 福建省南平市邵武市和平镇黎舍村 正一

248 邵武和平坎下武阳仙峰道观 福建省南平市邵武市和平镇坎下村 正一

249 邵武拿口渡头临水宫 福建省南平市邵武市拿口镇渡头村 正一

250 邵武沿山城隍庙 福建省南平市邵武市沿山镇沿山村 正一

251 顺昌洋口天后宫 福建省南平市顺昌县洋口镇建民新村 正一

252 顺昌井垅石观楼 福建省南平市顺昌县双溪街道井垅村 正一

253 顺昌建西太清宫 福建省南平市顺昌县建西镇路兹村溪口村 正一

254 顺昌城关临水宫 福建省南平市顺昌县双溪后山路8号 正一

255 松溪三清观 福建省南平市松溪县河东乡大布村 正一

256 松溪禅岩观 福建省南平市松溪县河东乡横垅村 正一

257 松溪洋村庙 福建省南平市松溪县祖墩乡上店村 正一

258 武夷山桃源洞道观 福建省南平市武夷山市武夷街道办天心村 全真

259 武夷山云台道院 福建省南平市武夷山市崇安街道办城西村佛岭 全真

260 武夷山天花岩道观 福建省南平市武夷山市新丰街道办五里村 全真

261 武夷山虎山庙 福建省南平市武夷山市武夷街道办角亭村 全真

262 武夷山天上宫 福建省南平市武夷山市星村镇星村村 全真

263 武夷山葛玄道观 福建省南平市武夷山市星村镇星村村 全真

264 武夷山莲花山道观 福建省南平市武夷山市星村镇黎新村 全真

265 武夷山武仁庙 福建省南平市武夷山市星村镇红星村 全真

266 武夷山天福道观 福建省南平市武夷山市星村镇黄村村 全真

267 武夷山妈祖庙 福建省南平市武夷山市五夫镇五夫村 全真

268 武夷山老葛仙庙 福建省南平市武夷山市洋庄乡洋庄村 全真

269 武夷山许真君庙 福建省南平市武夷山市岚谷乡山坳村 正一

270 武夷山将军庙 福建省南平市武夷山市星村镇黎源村 正一

271 南平高州龙岗祖殿 福建省南平市延平区樟湖镇高洲村 正一

272 南平塔前华光庙 福建省南平市延平区塔前镇塔前村 正一

273 南平太平田公元帅殿 福建省南平市延平区太平镇太平村 正一

274 南平玉屏山天后宫 福建省南平市延平区水东街道玉屏山 正一

275 南平西芹临水宫 福建省南平市延平区西芹镇板应一路323号 正一

276 南平炉下三清宫 福建省南平市延平区炉下镇下岚村 全真

277 南平太平真君殿 福建省南平市延平区太平镇刘家村 正一

278 南平大横常坑万乐宫 福建省南平市延平区大横镇常坑村 正一

279 南平西芹天柱殿 福建省南平市延平区西芹镇西岩村20号 正一

280 南平西芹胜峰殿 福建省南平市延平区西芹镇峰坪村 正一

281 南平大横湖尾大庙 福建省南平市延平区大横镇湖尾村 正一

282 南平峡阳灵显殿 福建省南平市延平区峡阳镇江汜村 正一

283 南平夏道右圣宫 福建省南平市延平区夏道镇徐洋村 正一

284 南平大横太保庙 福建省南平市延平区大横镇大横村 正一

285 南平西芹米山祖殿 福建省南平市延平区西芹镇南洲村米山 正一

286 南平圣公殿 福建省南平市延平区水东街道马站 正一

287 南平泰山庙 福建省南平市延平区玉屏山闽江支路 正一

288 南平王台庄感观 福建省南平市延平区王台镇王台村 正一

289 南平西芹玉封庙 福建省南平市延平区西芹镇前溪路131号 正一

290 南平茫荡吕祖观 福建省南平市延平区茫荡镇筠竹村坎下 正一

291 政和火云洞 福建省南平市政和县石屯镇西津村 正一

292 政和灵山观 福建省南平市政和县熊山街道良种场 正一

293 福安长春观 福建省宁德市福安市溪柄镇垾头村长春观 全真

294 福安玉皇宫 福建省宁德市福安市穆阳镇后门山狮子岩玉皇 全真

295 福安三清观 福建省宁德市福安市康厝乡石鼓井村三清观 全真

296 福安真武宫 福建省宁德市福安市穆阳镇百岁街3号真武宫 全真

297 福安真空宫 福建省宁德市福安市赛岐镇月兰山真空宫 全真

298 福安白云观 福建省宁德市福安市晓阳镇白云山白云观 全真

299 福安下白石金钟山道观 福建省宁德市福安市下白石镇湖头村金钟山 正一

300 福安东岳观 福建省宁德市福安市城南天马山东岳观 全真

301 福安清泉洞 福建省宁德市福安市穆阳桂林清泉洞 全真

302 福安锦云观 福建省宁德市福安市康厝秦家店 正一

303 福安神仙宫 福建省宁德市福安市溪柄镇三公里神仙宫 全真

304 福安牛童宫 福建省宁德市福安市赛岐镇牛童宫 全真

305 福安妈祖庙 福建省宁德市福安市城南溪口妈祖庙 全真

306 福安鹤山道观 福建省宁德市福安市城北街道棠发洋鹤山路3 全真

307 福安城阳仙宫 福建省宁德市福安市城阳乡溪东村城阳仙宫 正一

308 福安龙源观 福建省宁德市福安市社口镇仙溪龙源观 正一

309 福安赐福观 福建省宁德市福安市城南霞山赐福观 全真

310 福安城隍庙 福建省宁德市福安市城南天马山下 正一

311 福安凌霄观 福建省宁德市福安市上白石棋盘凌霄观 正一

312 福安灵峰观 福建省宁德市福安市穆云乡王楼村 全真

313 福安祥云观 福建省宁德市福安市城阳镇阮家坑村 正一

314 福鼎清云观 福建省宁德市福鼎市前岐镇黄仁村 全真

315 福鼎三清道观 福建省宁德市福鼎市前岐镇熊岭村 全真

316 福鼎清净道观 福建省宁德市福鼎市桐城街道流美村 全真

317 福鼎福兴道观 福建省宁德市福鼎市山前街道梅溪村 全真

318 福鼎云清道观 福建省宁德市福鼎市山前街道上坪园村 全真

319 福鼎福山道观 福建省宁德市福鼎市叠石乡车头村 全真

320 福鼎白云道观 福建省宁德市福鼎市嵛山镇渔鸟村 全真

321 福鼎清云道观 福建省宁德市福鼎市桐城街道上龙山 全真

322 福鼎前岐玄真道观 福建省宁德市福鼎市前岐镇熊岭村 全真

323 福鼎剑龙观 福建省宁德市福鼎市硖门乡硖门村 全真

324 古田临水宫 福建省宁德市古田县大桥镇中村 正一

325 宁德贤明观 福建省宁德市蕉城区蕉南小场村贤明观 全真

326 宁德清音阁 福建省宁德市蕉城区蕉北继光清音阁 全真

327 宁德新塘宫 福建省宁德市蕉城区东南新塘头新塘宫 正一

328 宁德福水宫 福建省宁德市蕉城区八都镇福口村福水宫 正一

329 宁德鹤林宫 福建省宁德市蕉城区霍童镇鹤林宫路 全真

330 宁德福山玄元观 福建省宁德市蕉城区福山曲尺塘玄元观 全真

331 寿宁犀溪罗山玉皇殿 福建省宁德市寿宁县犀溪镇仙峰村 正一

332 寿宁青峰仙宫 福建省宁德市寿宁县武曲镇梅洋村 正一

333 霞浦水门松东观 福建省宁德市霞浦县水门乡青沃村 全真

334 霞浦昌阳观 福建省宁德市霞浦县水门乡大岗村 全真

335 霞浦八仙宫 福建省宁德市霞浦县松城镇古岭下 全真

336 霞浦南天宫 福建省宁德市霞浦县沙江镇古县村葛洪山 全真

337 柘荣三清观 福建省宁德市柘荣县城郊乡下村山顶岚 全真

338 柘荣清阳观 福建省宁德市柘荣县城郊乡下村灯火山 全真

339 柘荣钟鼓山玄妙观 福建省宁德市柘荣县东源乡钟鼓山 全真

340 柘荣琼云观 福建省宁德市柘荣县东源乡铁场村 全真

341 柘荣长春宫 福建省宁德市柘荣县富溪镇前宅村 全真

342 柘荣东狮山清云宫 福建省宁德市柘荣县双城镇上城社区 全真

343 柘荣褒荣宫 福建省宁德市柘荣县双城镇城北社区北山村 全真

344 周宁奇仙岗道观 福建省宁德市周宁县狮城镇奇仙岗 全真

345 莆田涵西孝义正极殿 福建省莆田市涵江区涵西街道孝义街明本正极 正一

346 莆田涵东宫下大成里宫 福建省莆田市涵江区涵东街道宫下正学路 正一

347 莆田涵东下洋乌台宫 福建省莆田市涵江区涵东街道下洋 正一

348 莆田涵东下洋武当宫 福建省莆田市涵江区涵东街道苍然社区下洋 正一

349 莆田涵东霞徐天妃宫 福建省莆田市涵江区涵东街道霞徐社区 正一

350 莆田涵东塘北新丰祖宫 福建省莆田市涵江区涵东街道塘北街268弄 正一

351 莆田涵东铺尾龙津宫 福建省莆田市涵江区涵东街道铺尾三江街13 正一

352 莆田涵东铺尾文明宫 福建省莆田市涵江区涵东街道铺尾路225号 正一

353 莆田国欢塘头会庆堂 福建省莆田市涵江区国欢镇塘头村 正一

354 莆田萩芦双亭显圣殿 福建省莆田市涵江区萩芦镇双亭村 正一

